"filename", "language", "Batch", "Properties", "Groovy", "XML", "Java", "comment", "blank", "total"
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_orange_radius.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_orange_rang.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_orange_tail.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_purper_head.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_purper_radius.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_purper_rang.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_purper_tail.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_red_head.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_red_radius.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_red_rang.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_red_tail.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_ripple.xml", "XML", 0, 0, 0, 5, 0, 0, 1, 6
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_top_radius.xml", "XML", 0, 0, 0, 4, 0, 0, 2, 6
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_underline.xml", "XML", 0, 0, 0, 4, 0, 0, 1, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_underline1.xml", "XML", 0, 0, 0, 4, 0, 0, 1, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_yellow_head.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_yellow_radius.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_yellow_rang.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_yellow_tail.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\btn_bg_white.xml", "XML", 0, 0, 0, 5, 0, 0, 1, 6
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\ico_radius.xml", "XML", 0, 0, 0, 6, 0, 0, 4, 10
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\message_shadow_bg.xml", "XML", 0, 0, 0, 11, 0, 19, 1, 31
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\shape_rectangle_with_radius.xml", "XML", 0, 0, 0, 10, 0, 0, 4, 14
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\shape_seacher.xml", "XML", 0, 0, 0, 8, 0, 0, 2, 10
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 70, 0, 0, 13, 83
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\activity_tosee.xml", "XML", 0, 0, 0, 49, 0, 1, 24, 74
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\calendar_edit_schedule.xml", "XML", 0, 0, 0, 156, 0, 0, 24, 180
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\calendar_new_schedule.xml", "XML", 0, 0, 0, 209, 0, 0, 37, 246
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\content_tosee.xml", "XML", 0, 0, 0, 127, 0, 2, 37, 166
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\dialog_date.xml", "XML", 0, 0, 0, 14, 0, 0, 3, 17
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\dialog_time.xml", "XML", 0, 0, 0, 12, 0, 0, 4, 16
